此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：  |||  作者
贾政道：  |||  贾政
众人道：  |||  众人
贾政笑道：  |||  贾政
众人笑道：  |||  众人
宝玉道：  |||  宝玉
贾政听了，更批胡说．于是要进港洞时，又想起有船无船．贾珍道：  |||  贾珍
贾政笑道：  |||  贾政
贾珍道：  |||  贾珍
贾政道：  |||  贾政
因而步入门时，忽迎面突出插天的大玲珑山石来，四面群绕各式石块，竟把里面所有房屋悉皆遮住，而且一株花木也无．只见许多异草：或有牵藤的，或有引蔓的，或垂山巅，或穿石隙，甚至垂檐绕柱，萦砌盘阶，或如翠带飘し，或如金绳盘屈，或实若丹砂，或花如金桂，味芬气馥，非花香之可比．贾政不禁笑道：  |||  贾政
有的说：  |||  有的
贾政道：  |||  贾政
宝玉道：  |||  宝玉
未及说完，贾政喝道：  |||  贾政
贾政因见两边俱是超手游廊，便顺着游廊步入．只见上面五间清厦连着卷棚，四面出廊，绿窗油壁，更比前几处清雅不同．贾政叹道：  |||  贾政
众人笑道：  |||  众人
贾政道：  |||  贾政
一人道：  |||  一人
麝兰芳霭斜阳院，杜若香飘明月洲．众人道：  |||  众人
那人道：  |||  那人
众人道：  |||  众人
又一人道：  |||  一人
三径香风飘玉蕙，一庭明月照金兰．贾政拈髯沉吟，意欲也题一联．忽抬头见宝玉在旁不敢则声，因喝道：  |||  贾政
宝玉听说，便回道：  |||  宝玉
贾政道：  |||  贾政
吟成щ蔻才犹艳，睡足酴せ梦也香．贾政笑道：  |||  贾政
众客道：  |||  众客
贾政笑道：  |||  贾政
说着，大家出来．行不多远，则见崇阁巍峨，层楼高起，面面琳宫合抱，迢迢复道萦纡，青松拂檐，玉栏绕砌，金辉兽面，彩焕螭头．贾政道：  |||  贾政
众人都道：  |||  众人
一面说，一面走，只见正面现出一座玉石牌坊来，上面龙蟠螭护，玲珑凿就．贾政道：  |||  贾政
众人道：  |||  众人
贾政摇头不语．宝玉见了这个所在，心中忽有所动，寻思起来，倒象那里曾见过的一般，却一时想不起那年月日的事了．贾政又命他作题，宝玉只顾细思前景，全无心于此了．众人不知其意，只当他受了这半日的折磨，精神耗散，才尽词穷了，再要考难逼迫，着了急，或生出事来，倒不便．遂忙都劝贾政：  |||  众人
贾政心中也怕贾母不放心，遂冷笑道：  |||  贾政
说着，引人出来，再一观望，原来自进门起，所行至此，才游了十之五六．又值人来回，有雨村处遣人回话．贾政笑道：  |||  贾政
说着，引客行来，至一大桥前，见水如晶帘一般奔入．原来这桥便是通外河之闸，引泉而入者．贾政因问：  |||  贾政
宝玉道：  |||  宝玉
贾政道：  |||  贾政
于是一路行来，或清堂茅舍，或堆石为垣，或编花为牖，或山下得幽尼佛寺，或林中藏女道丹房，或长廊曲洞，或方厦圆亭，贾政皆不及进去．因说半日腿酸，未尝歇息，忽又见前面又露出一所院落来，贾政笑道：  |||  贾政
说着，一径引人绕着碧桃花，穿过一层竹篱花障编就的月洞门，俄见粉墙环护，绿柳周垂．贾政与众人进去，一入门，两边都是游廊相接．院中点衬几块山石，一边种着数本芭蕉，那一边乃是一棵西府海棠，其势若伞，丝垂翠缕，葩吐丹砂．众人赞道：  |||  众人
贾政道：  |||  贾政
众人笑道：  |||  众人
宝玉道：  |||  宝玉
众人都摇身赞妙．一面说话，一面都在廊外抱厦下打就的榻上坐了．贾政因问：  |||  贾政
一客道：  |||  一客
又一个道：  |||  一个
贾政与众人都道：  |||  贾政与众人
宝玉也道：  |||  宝玉
又叹：  |||  叹：
众人问：  |||  众人
宝玉道：  |||  宝玉
贾政道：  |||  贾政
宝玉道：  |||  宝玉
贾政摇头道：  |||  贾政
说着，引人进入房内．只见这几间房内收拾的与别处不同，竟分不出间隔来的．原来四面皆是雕空玲珑木板，或"流云百蝠"，或"岁寒三友"，或山水人物，或翎毛花卉，或集锦，或博古，或万福万寿各种花样，皆是名手雕镂，五彩销金嵌宝的．一К一К，或有贮书处，或有设鼎处，或安置笔砚处，或供花设瓶，安放盆景处．其К各式各样，或天圆地方，或葵花蕉叶，或连环半璧．真是花团锦簇，剔透玲珑．倏尔五色纱糊就，竟系小窗，倏尔彩凌轻覆，竟系幽户．且满墙满壁，皆系随依古董玩器之形抠成的槽子．诸如琴，剑，悬瓶，桌屏之类，虽悬于壁，却都是与壁相平的．众人都赞：  |||  众人
原来贾政等走了进来，未进两层，便都迷了旧路，左瞧也有门可通，右瞧又有窗暂隔，及到了跟前，又被一架书挡住．回头再走，又有窗纱明透，门径可行，及至门前，忽见迎面也进来了一群人，都与自己形相一样，-却是一架玻璃大镜相照．及转过镜去，益发见门子多了．贾珍笑道：  |||  贾珍
说着，又转了两层纱厨锦К，果得一门出去，院中满架蔷薇，宝相．转过花障，则见青溪前阻．众人咤异：  |||  众人
贾珍遥指道：  |||  贾珍
众人听了，都道：  |||  众人
说着，忽见大山阻路．众人都道"迷了路了。”贾珍笑道：  |||  贾珍
仍在前导引，众人随他，直由山脚边忽一转，便是平坦宽阔大路，豁然大门前见．众人都道：  |||  众人
于是大家出来．那宝玉一心只记挂着里边，又不见贾政吩咐，少不得跟到书房．贾政忽想起他来，方喝道：  |||  贾政
话说宝玉来至院外，就有跟贾政的几个小厮上来拦腰抱住，都说：  |||  几个小厮
宝玉笑道：  |||  宝玉
众人道：  |||  众人
说着，一个上来解荷包，那一个就解扇囊，不容分说，将宝玉所佩之物尽行解去．又道：  |||  一个
少时袭人倒了茶来，见身边佩物一件无存，因笑道：  |||  袭人
林黛玉听说，走来瞧瞧，果然一件无存，因向宝玉道：  |||  林黛玉
说毕，赌气回房，将前日宝玉所烦他作的那个香袋儿——才做了一半——赌气拿过来就铰．宝玉见他生气，便知不妥，忙赶过来，早剪破了．宝玉已见过这香囊，虽尚未完，却十分精巧，费了许多工夫．今见无故剪了，却也可气．因忙把衣领解了，从里面红袄襟上将黛玉所给的那荷包解了下来，递与黛玉瞧道：  |||  宝玉
林黛玉见他如此珍重，带在里面，可知是怕人拿去之意，因此又自悔莽撞，未见皂白，就剪了香袋．因此又愧又气，低头一言不发．宝玉道：  |||  宝玉
说着，掷向他怀中便走．黛玉见如此，越发气起来，声咽气堵，又汪汪的滚下泪来，拿起荷包来又剪．宝玉见他如此，忙回身抢住，笑道：  |||  宝玉
黛玉将剪子一摔，拭泪说道：  |||  黛玉
前面贾母一片声找宝玉．众奶娘丫鬟们忙回说：  |||  众奶娘丫鬟们
贾母听说道：  |||  贾母
众人答应着．黛玉被宝玉缠不过，只得起来道：  |||  黛玉
说着往外就走．宝玉笑道：  |||  宝玉
一面仍拿起荷包来带上，黛玉伸手抢道：  |||  黛玉
说着，"嗤"的一声又笑了．宝玉道：  |||  宝玉
黛玉道：  |||  黛玉
此时王夫人那边热闹非常．原来贾蔷已从姑苏采买了十二个女孩子——并聘了教习——以及行头等事来了．那时薛姨妈另迁于东北上一所幽静房舍居住，将梨香院早已腾挪出来，另行修理了，就令教习在此教演女戏．又另派家中旧有曾演学过歌唱的女人们——如今皆已皤然老妪了，着他们带领管理．就令贾蔷总理其日用出入银钱等事，以及诸凡大小所需之物料账目．又有林之孝家的来回：  |||  林之孝家的
王夫人不等回完，便说：  |||  王夫人
林之孝家的回道：  |||  林之孝家的
王夫人笑道：  |||  王夫人
当下又有人回，工程上等着糊东西的纱绫，请凤姐去开楼拣纱绫，又有人来回，请凤姐开库，收金银器皿．连王夫人并上房丫鬟等众，皆一时不得闲的．宝钗便说：  |||  宝钗
至十五日五鼓，自贾母等有爵者，皆按品服大妆．园内各处，帐舞蟠龙，帘飞彩凤，金银焕彩，珠宝争辉，鼎焚百合之香，瓶插长春之蕊，静悄无人咳嗽．贾赦等在西街门外，贾母等在荣府大门外．街头巷口，俱系围ぜ挡严．正等的不耐烦，忽一太监坐大马而来，贾母忙接入，问其消息．太监道：  |||  太监
凤姐听了道：  |||  凤姐
当日这贾妃未入宫时，自幼亦系贾母教养．后来添了宝玉，贾妃乃长姊，宝玉为弱弟，贾妃之心上念母年将迈，始得此弟，是以怜爱宝玉，与诸弟待之不同．且同随祖母，刻未暂离．那宝玉未入学堂之先，三四岁时，已得贾妃手引口传，教授了几本书，数千字在腹内了．其名分虽系姊弟，其情状有如母子．自入宫后，时时带信出来与父母说：  |||  宝玉
闲文少述，且说贾妃看了四字，笑道：  |||  贾妃
金门玉户神仙府，桂殿兰宫妃子家．贾妃乃问：  |||  贾妃
随侍太监跪启曰：  |||  随侍太监
贾妃点头不语．礼仪太监跪请升座受礼，两陛乐起．礼仪太监二人引贾赦，贾政等于月台下排班，殿上昭容传谕曰：  |||  殿上昭容
太监引贾赦等退出．又有太监引荣国太君及女眷等自东阶升月台上排班，昭容再谕曰：  |||  昭容
茶已三献，贾妃降座，乐止．退入侧殿更衣，方备省亲车驾出园．至贾母正室，欲行家礼，贾母等俱跪止不迭．贾妃满眼垂泪，方彼此上前厮见，一手搀贾母，一手搀王夫人，三个人满心里皆有许多话，只是俱说不出，只管呜咽对泣．邢夫人，李纨，王熙凤，迎，探，惜三姊妹等，俱在旁围绕，垂泪无言．半日，贾妃方忍悲强笑，安慰贾母，王夫人道：  |||  贾妃
说到这句，不禁又哽咽起来．邢夫人等忙上来解劝．贾母等让贾妃归座，又逐次一一见过，又不免哭泣一番．然后东西两府掌家执事人丁在厅外行礼，及两府掌家执事媳妇领丫鬟等行礼毕．贾妃因问：  |||  贾妃
王夫人启曰：  |||  王夫人
贾妃听了，忙命快请．一时，薛姨妈等进来，欲行国礼，亦命免过，上前各叙阔别寒温．又有贾妃原带进宫去的丫鬟抱琴等上来叩见，贾母等连忙扶起，命人别室款待．执事太监及彩嫔，昭容各侍从人等，宁国府及贾赦那宅两处自有人款待，只留三四个小太监答应．母女姊妹深叙些离别情景，及家务私情．又有贾政至帘外问安，贾妃垂帘行参等事．又隔帘含泪谓其父曰：  |||  贾妃
贾政亦含泪启道：  |||  贾政
贾妃亦嘱"只以国事为重，暇时保养，切勿记念"等语．贾政又启：  |||  贾政
元妃听了宝玉能题，便含笑说：  |||  元妃
贾政退出．贾妃见宝，林二人亦发比别姊妹不同，真是姣花软玉一般．因问：  |||  贾妃
贾母乃启：  |||  贾母
元妃命快引进来．小太监出去引宝玉进来，先行国礼毕，元妃命他进前，携手拦于怀内，又抚其头颈笑道：  |||  元妃
尤氏，凤姐等上来启道：  |||  尤氏，凤姐
元妃等起身，命宝玉导引，遂同诸人步至园门前，早见灯光火树之中，诸般罗列非常．进园来先从"有凤来仪"，"红香绿玉"，"杏帘在望，妃极加奖赞，又劝：  |||  妃
话说贾妃回宫，次日见驾谢恩，并回奏归省之事，龙颜甚悦．又发内帑彩缎金银等物，以赐贾政及各椒房等员，不必细说．且说荣宁二府中因连日用尽心力，真是人人力倦，各各神疲，又将园中一应陈设动用之物收拾了两三天方完．第一个凤姐事多任重，别人或可偷安躲静，独他是不能脱得的，二则本性要强，不肯落人褒贬，只扎挣着与无事的人一样．第一个宝玉是极无事最闲暇的．偏这日一早，袭人的母亲又亲来回过贾母，接袭人家去吃年茶，晚间才得回来．因此，宝玉只和众丫头们掷骰子赶围棋作戏．正在房内顽的没兴头，忽见丫头们来回说：  |||  人
谁想贾珍这边唱的是《丁郎认父》，《黄伯央大摆阴魂阵》，更有《孙行者大闹天宫》，《姜子牙斩将封神》等类的戏文，倏尔神鬼乱出，忽又妖魔毕露，甚至于扬幡过会，号佛行香，锣鼓喊叫之声远闻巷外．满街之人个个都赞：  |||  满街之人
宝玉见一个人没有，因想"这里素日有个小书房，内曾挂着一轴美人，极画的得神．今日这般热闹，想那里自然无人，那美人也自然是寂寞的，须得我去望慰他一回。”想着，便往书房里来．刚到窗前，闻得房内有呻吟之韵．宝玉倒唬了一跳：敢是美人活了不成？乃乍着胆子，舔破窗纸，向内一看——那轴美人却不曾活，却是茗烟按着一个女孩子，也干那警幻所训之事．宝玉禁不住大叫：  |||  宝玉
茗烟见是宝玉，忙跪求不迭．宝玉道：  |||  宝玉
一面看那丫头，虽不标致，倒还白净，些微亦有动人处，羞的脸红耳赤，低首无言．宝玉跺脚道：  |||  宝玉
一语提醒了那丫头，飞也似去了．宝玉又赶出去，叫道：  |||  宝玉
急的茗烟在后叫：  |||  茗烟
宝玉因问：  |||  宝玉
茗烟道：  |||  茗烟
宝玉道：  |||  宝玉
又问：  |||  又问：
茗烟大笑道：  |||  茗烟
宝玉听了笑道：  |||  宝玉
茗烟因问：  |||  茗烟
宝玉道：  |||  宝玉
茗烟だだ笑道：  |||  茗烟
宝玉道：  |||  宝玉
茗烟道：  |||  茗烟
宝玉笑道：  |||  宝玉
茗烟笑道：  |||  茗烟
又道：  |||  又道：
宝玉道：  |||  宝玉
茗烟听说，拉了马，二人从后门就走了．幸而袭人家不远，不过一半里路程，展眼已到门前．茗烟先进去叫袭人之兄花自芳．彼时袭人之母接了袭人与几个外甥女儿，几个侄女儿来家，正吃果茶，听见外面有人叫"花大哥"，花自芳忙出去看时，见是他主仆两个，唬的惊疑不止，连忙抱下宝玉来，在院内嚷道：  |||  花自芳
别人听见还可，袭人听了，也不知为何，忙跑出来迎着宝玉，一把拉着问：  |||  袭人
宝玉笑道：  |||  宝玉
袭人听了，才放下心来，も了一声，笑道：  |||  袭人
一面又问茗烟：  |||  一面又问茗烟
茗烟笑道：  |||  茗烟
袭人听了，复又惊慌，说道：  |||  袭人
茗烟撅了嘴道：  |||  茗烟
花自芳忙劝：  |||  花自芳
袭人之母也早迎了出来．袭人拉了宝玉进去．宝玉见房中三五个女孩儿，见他进来，都低了头，羞惭惭的．花自芳母子两个百般怕宝玉冷，又让他上炕，又忙另摆果桌，又忙倒好茶．袭人笑道：  |||  袭人
一面说，一面将自己的坐褥拿了铺在一个炕上，宝玉坐了，用自己的脚炉垫了脚，向荷包内取出两个梅花香饼儿来，又将自己的手炉掀开焚上，仍盖好，放与宝玉怀内，然后将自己的茶杯斟了茶，送与宝玉．彼时他母兄已是忙另齐齐整整摆上一桌子果品来．袭人见总无可吃之物，因笑道：  |||  袭人
宝玉看见袭人两眼微红，粉光融滑，因悄问袭人：  |||  宝玉
袭人笑道：  |||  袭人
因此便遮掩过了．当下宝玉穿着大红金蟒狐腋箭袖，外罩石青貂裘排穗褂．袭人道：  |||  袭人
宝玉笑道：  |||  宝玉
袭人点头．又道：  |||  袭人
宝玉笑道：  |||  宝玉
袭人悄笑道：  |||  袭人
一面又伸手从宝玉项上将通灵玉摘了下来，向他姊妹们笑道：  |||  宝玉项上将通灵玉
说毕，递与他们传看了一遍，仍与宝玉挂好．又命他哥哥去或雇一乘小轿，或雇一辆小车，送宝玉回去．花自芳道：  |||  花自芳
袭人道：  |||  袭人
花自芳忙去雇了一顶小轿来，众人也不敢相留，只得送宝玉出去，袭人又抓果子与茗烟，又把些钱与他买花炮放，教他"不可告诉人，连你也有不是．"一直送宝玉至门前，看着上轿，放下轿帘．花，茗二人牵马跟随．来至宁府街，茗烟命住轿，向花自芳道：  |||  茗烟
花自芳听说有理，忙将宝玉抱出轿来，送上马去．宝玉笑说：  |||  宝玉
于是仍进后门来．俱不在话下．却说宝玉自出了门，他房中这些丫鬟们都越性恣意的顽笑，也有赶围棋的，也有掷骰抹牌的，磕了一地瓜子皮．偏奶母李嬷嬷拄拐进来请安，瞧瞧宝玉，见宝玉不在家，丫鬟们只顾玩闹，十分看不过．因叹道：  |||  李嬷嬷
这些丫头们明知宝玉不讲究这些，二则李嬷嬷已是告老解事出去的了，如今管他们不着，因此只顾顽，并不理他．那李嬷嬷还只管问"宝玉如今一顿吃多少饭"，"什么时辰睡觉"等语．丫头们总胡乱答应．有的说：  |||  丫头们
李嬷嬷又问道：  |||  李嬷嬷
说毕，拿匙就吃．一个丫头道：  |||  一个丫头
李嬷嬷听了，又气又愧，便说道：  |||  李嬷嬷
一面说，一面赌气将酥酪吃尽．又一丫头笑道：  |||  一丫头
李嬷嬷道：  |||  李嬷嬷
少时，宝玉回来，命人去接袭人．只见晴雯躺在床上不动，宝玉因问：  |||  宝玉
秋纹道：  |||  秋纹
宝玉笑道：  |||  宝玉
说着，袭人已来，彼此相见．袭人又问宝玉何处吃饭，多早晚回来，又代母妹问诸同伴姊妹好．一时换衣卸妆．宝玉命取酥酪来，丫鬟们回说：  |||  丫鬟们
宝玉才要说话，袭人便忙笑道：  |||  袭人
宝玉听了信以为真，方把酥酪丢开，取栗子来，自向灯前检剥，一面见众人不在房里，乃笑问袭人道：  |||  宝玉
袭人道：  |||  袭人
宝玉听了，赞叹了两声．袭人道：  |||  袭人
宝玉笑道：  |||  宝玉
袭人冷笑道：  |||  袭人
宝玉听了，忙笑道：  |||  宝玉
袭人道：  |||  袭人
宝玉便不肯再说，只是剥栗子．袭人笑道：  |||  袭人
宝玉笑道：  |||  宝玉
袭人道：  |||  袭人
宝玉听了"出嫁"二字，不禁又も了两声，正是不自在，又听袭人叹道：  |||  袭人
宝玉听这话内有文章，不觉吃一惊，忙丢下栗子，问道：  |||  宝玉
袭人道：  |||  袭人
宝玉听了这话，越发怔了，因问：  |||  宝玉
袭人道：  |||  袭人
宝玉道：  |||  宝玉
袭人道：  |||  袭人
宝玉想一想，果然有理．又道：  |||  宝玉
袭人道：  |||  袭人
宝玉听了这些话，竟是有去的理，无留的理，心内越发急了，因又道：  |||  宝玉
袭人道：  |||  袭人
宝玉听了，思忖半晌，乃说道：  |||  宝玉
袭人道：  |||  袭人
宝玉听了，自思道：  |||  宝玉
乃叹道：  |||  叹道：
说着，便赌气上床睡去了．原来袭人在家，听见他母兄要赎他回去，他就说至死也不回去的．又说：  |||  袭人
如今且说袭人自幼见宝玉性格异常，其淘气憨顽自是出于众小儿之外，更有几件千奇百怪口不能言的毛病儿．近来仗着祖母溺爱，父母亦不能十分严紧拘管，更觉放荡弛纵，任性恣情，最不喜务正．每欲劝时，料不能听，今日可巧有赎身之论，故先用骗词，以探其情，以压其气，然后好下箴规．今见他默默睡去了，知其情有不忍，气已馁堕，自己原不想栗子吃的，只因怕为酥酪又生事故，亦如茜雪之茶等事，是以假以栗子为由，混过宝玉不提就完了．于是命小丫头们将栗子拿去吃了，自己来推宝玉．只见宝玉泪痕满面，袭人便笑道：  |||  袭人
宝玉见这话有文章，便说道”“你倒说说，我还要怎么留你，我自己也难说了。”袭人笑道：  |||  袭人
宝玉忙笑道：  |||  宝玉
话未说完，急的袭人忙握他的嘴，说：  |||  袭人
宝玉忙说道：  |||  宝玉
袭人道：  |||  袭人
宝玉道：  |||  宝玉
袭人道：  |||  袭人
宝玉笑道：  |||  宝玉
袭人道：  |||  袭人
宝玉道：  |||  宝玉
袭人笑道：  |||  袭人
宝玉笑道：  |||  宝玉
袭人冷笑道：  |||  袭人
二人正说着，只见秋纹走进来，说：  |||  秋纹
宝玉命取表来看时，果然针已指到亥正，方从新盥漱，宽衣安歇，不在话下．至次日清晨，袭人起来，便觉身体发重，头疼目胀，四肢火热．先时还挣扎的住，次后捱不住，只要睡着，因而和衣躺在炕上．宝玉忙回了贾母，传医诊视，说道：  |||  宝玉
彼时黛玉自在床上歇午，丫鬟们皆出去自便，满屋内静悄悄的，宝玉揭起绣线软帘，进入里间，只见黛玉睡在那里，忙走上来推他道：  |||  宝玉
将黛玉唤醒．黛玉见是宝玉，因说道：  |||  黛玉
宝玉道：  |||  宝玉
黛玉只合着眼，说道：  |||  黛玉
宝玉推他道：  |||  宝玉
黛玉听了，嗤的一声笑道：  |||  黛玉
宝玉道：  |||  宝玉
黛玉道：  |||  黛玉
宝玉道：  |||  宝玉
黛玉道：  |||  黛玉
宝玉出至外间，看了一看，回来笑道：  |||  宝玉
黛玉听了，睁开眼，起身笑道：  |||  黛玉
黛玉因看见宝玉左边腮上有钮扣大小的一块血渍，便欠身凑近前来，以手抚之细看，又道：  |||  黛玉
宝玉侧身，一面躲，一面笑道：  |||  宝玉
说着，便找手帕子要揩拭．黛玉便用自己的帕子替他揩拭了，口内说道：  |||  黛玉
宝玉总未听见这些话，只闻得一股幽香，却是从黛玉袖中发出，闻之令人醉魂酥骨．宝玉一把便将黛玉的袖子拉住，要瞧笼着何物．黛玉笑道：  |||  黛玉
宝玉笑道：  |||  宝玉
黛玉道：  |||  黛玉
宝玉摇头道：  |||  宝玉
黛玉冷笑道：  |||  黛玉
宝玉笑道：  |||  宝玉
  |||  empty
宝玉方住了手，笑问道：  |||  宝玉
黛玉笑道：  |||  黛玉
一面理鬓笑道：  |||  一面理鬓
宝玉见问，一时解不来，因问：  |||  宝玉
黛玉点头叹笑道：  |||  黛玉
宝玉方听出来．宝玉笑道：  |||  宝玉
说着，又去伸手．黛玉忙笑道：  |||  黛玉
宝玉笑道：  |||  宝玉
说着，便拉了袖子笼在面上，闻个不住．黛玉夺了手道：  |||  黛玉
宝玉笑道：  |||  宝玉
宝玉只怕他睡出病来，便哄他道：  |||  宝玉
黛玉见他说的郑重，且又正言厉色，只当是真事，因问：  |||  黛玉
宝玉见问，便忍着笑顺口诌道：  |||  宝玉
黛玉笑道：  |||  黛玉
宝玉道：  |||  宝玉
黛玉道：  |||  黛玉
宝玉又诌道：  |||  宝玉
  |||  empty
  |||  empty
  |||  empty
黛玉听了，翻身爬起来，按着宝玉笑道：  |||  黛玉
说着，便拧的宝玉连连央告，说：  |||  宝玉
黛玉笑道：  |||  黛玉
一语未了，只见宝钗走来，笑问：  |||  宝钗
黛玉忙让坐，笑道：  |||  黛玉
宝钗笑道：  |||  宝钗
黛玉听了笑道：  |||  黛玉
话说宝玉在林黛玉房中说"耗子精"，宝钗撞来，讽刺宝玉元宵不知"绿蜡"之典，三人正在房中互相讥刺取笑．那宝玉正恐黛玉饭后贪眠，一时存了食，或夜间走了困，皆非保养身体之法，幸而宝钗走来，大家谈笑，那林黛玉方不欲睡，自己才放了心．忽听他房中嚷起来，大家侧耳听了一听，林黛玉先笑道：  |||  林黛玉
宝玉忙要赶过来，宝钗忙一把拉住道：  |||  宝钗
宝玉道：  |||  宝玉
说毕走来，只见李嬷嬷拄着拐棍，在当地骂袭人：  |||  李嬷嬷
宝玉虽听了这些话，也不好怎样，少不得替袭人分辨病了吃药等话，又说：  |||  宝玉
李嬷嬷听了这话，益发气起来了，说道：  |||  李嬷嬷
一面说，一面也哭起来．彼时黛玉宝钗等也走过来劝说：  |||  黛玉宝钗
李嬷嬷见他二人来了，便拉住诉委屈，将当日吃茶，茜雪出去，与昨日酥酪等事，唠唠叨叨说个不清．可巧凤姐正在上房算完输赢帐，听得后面声嚷，便知是李嬷嬷老病发了，排揎宝玉的人．——正值他今儿输了钱，迁怒于人．便连忙赶过来，拉了李嬷嬷，笑道：  |||  凤姐
一面说，一面拉着走，又叫：  |||  说
那李嬷嬷脚不沾地跟了凤姐走了，一面还说：  |||  李嬷嬷
后面宝钗黛玉随着．见凤姐儿这般，都拍手笑道：  |||  宝钗黛玉
宝玉点头叹道：  |||  宝玉
一句未了，晴雯在旁笑道：  |||  晴雯
袭人一面哭，一面拉着宝玉道：  |||  袭人
宝玉见他这般病势，又添了这些烦恼，连忙忍气吞声，安慰他仍旧睡下出汗．又见他汤烧火热，自己守着他，歪在旁边，劝他只养着病，别想着些没要紧的事生气．袭人冷笑道：  |||  袭人
一时杂使的老婆子煎了二和药来．宝玉见他才有汗意，不肯叫他起来，自己便端着就枕与他吃了，即命小丫头子们铺炕．袭人道：  |||  袭人
宝玉听说，只得替他去了簪环，看他躺下，自往上房来．同贾母吃毕饭，贾母犹欲同那几个老管家嬷嬷斗牌解闷，宝玉记着袭人，便回至房中，见袭人朦朦睡去．自己要睡，天气尚早．彼时晴雯，绮霰，秋纹，碧痕都寻热闹，找鸳鸯琥珀等耍戏去了，独见麝月一个人在外间房里灯下抹骨牌．宝玉笑问道：  |||  宝玉
麝月道：  |||  麝月
宝玉道：  |||  宝玉
麝月道：  |||  麝月
宝玉听了这话，公然又是一个袭人．因笑道：  |||  宝玉
麝月道：  |||  麝月
宝玉笑道：  |||  宝玉
麝月听了便道：  |||  麝月
说着，将文具镜匣搬来，卸去钗钏，打开头发，宝玉拿了篦子替他一一的梳篦．只篦了三五下，只见晴雯忙忙走进来取钱．一见了他两个，便冷笑道：  |||  晴雯
宝玉笑道：  |||  宝玉
晴雯道：  |||  晴雯
宝玉在麝月身后，麝月对镜，二人在镜内相视．宝玉便向镜内笑道：  |||  宝玉
麝月听说，忙向镜中摆手，宝玉会意．忽听唿一声帘子响，晴雯又跑进来问道：  |||  晴雯
麝月笑道：  |||  麝月
晴雯笑道：  |||  晴雯
说着，一径出去了．这里宝玉通了头，命麝月悄悄的伏侍他睡下，不肯惊动袭人．一宿无话．至次日清晨起来，袭人已是夜间发了汗，觉得轻省了些，只吃些米汤静养．宝玉放了心，因饭后走到薛姨妈这边来闲逛．彼时正月内，学房中放年学，闺阁中忌针，却都是闲时．贾环也过来顽，正遇见宝钗，香菱，莺儿三个赶围棋作耍，贾环见了也要顽．宝钗素习看他亦如宝玉，并没他意．今儿听他要顽，让他上来坐了一处．一磊十个钱，头一回自己赢了，心中十分欢喜．后来接连输了几盘，便有些着急．赶着这盘正该自己掷骰子，若掷个七点便赢，若掷个六点，下该莺儿掷三点就赢了．因拿起骰子来，狠命一掷，一个作定了五，那一个乱转．莺儿拍着手只叫"幺"，贾环便瞪着眼，"六——七——八"混叫．那骰子偏生转出幺来．贾环急了，伸手便抓起骰子来，然后就拿钱，说是个六点．莺儿便说：  |||  莺儿
宝钗见贾环急了，便瞅莺儿说道：  |||  宝钗
莺儿满心委屈，见宝钗说，不敢则声，只得放下钱来，口内嘟囔说：  |||  莺儿
宝钗不等说完，连忙断喝．贾环道：  |||  贾环
说着，便哭了．宝钗忙劝他：  |||  宝钗
又骂莺儿．正值宝玉走来，见了这般形况，问是怎么了．贾环不敢则声．宝钗素知他家规矩，凡作兄弟的，都怕哥哥．却不知那宝玉是不要人怕他的．他想着：  |||  宝钗
更有个呆意思存在心里．——你道是何呆意？因他自幼姊妹丛中长大，亲姊妹有元春，探春，伯叔的有迎春，惜春，亲戚中又有史湘云，林黛玉，薛宝钗等诸人．他便料定，原来天生人为万物之灵，凡山川日月之精秀，只钟于女儿，须眉男子不过是些渣滓浊沫而已．因有这个呆念在心，把一切男子都看成混沌浊物，可有可无．只是父亲叔伯兄弟中．因孔子是亘古第一人说下的．不可忤慢，只得要听他这句话．所以，弟兄之间不过尽其大概的情理就罢了，并不想自己是丈夫，须要为子弟之表率．是以贾环等都不怕他，却怕贾母，才让他三分．如今宝钗恐怕宝玉教训他，倒没意思，便连忙替贾环掩饰．宝玉道：  |||  宝玉
赵姨娘见他这般，因问：  |||  赵姨娘
一问不答，再问时，贾环便说：  |||  贾环
赵姨娘啐道：  |||  赵姨娘
正说着，可巧凤姐在窗外过．都听在耳内．便隔窗说道：  |||  凤姐
贾环素日怕凤姐比怕王夫人更甚，听见叫他，忙唯唯的出来．赵姨娘也不敢则声．凤姐向贾环道：  |||  凤姐
贾环见问，只得诺诺的回说：  |||  贾环
凤姐道：  |||  凤姐
回头叫丰儿：  |||  丰儿
喝命：  |||  喝命：
且说宝玉正和宝钗顽笑，忽见人说：  |||  人
宝玉听了，抬身就走．宝钗笑道：  |||  宝钗
说着，下了炕，同宝玉一齐来至贾母这边．只见史湘云大笑大说的，见他两个来，忙问好厮见．正值林黛玉在旁，因问宝玉：  |||  林黛玉
宝玉便说：  |||  宝玉
黛玉冷笑道：  |||  黛玉
宝玉笑道：  |||  宝玉
林黛玉道：  |||  林黛玉
宝玉忙跟了来，问道：  |||  宝玉
林黛玉道：  |||  林黛玉
宝玉笑道：  |||  宝玉
林黛玉道：  |||  林黛玉
宝玉道：  |||  宝玉
林黛玉道：  |||  林黛玉
